Korpus;Frequency;Presentase Kemunculan;
yang;975156;2,239408843;
dan;964511;2,214963003;
di;917963;2,108067283;
pada;438597;1,007221409;
dari;430135;0,987788746;
dengan;403783;0,927272376;
ini;344574;0,791301148;
adalah;326399;0,749562949;
dalam;311020;0,714245657;
untuk;300240;0,689489795;
kategori;282616;0,649016947;
tahun;275837;0,63344923;
sebagai;207566;0,476667462;
oleh;199257;0,457586158;
indonesia;185735;0,426533397;
ke;170148;0,390738442;
the;152163;0,34943657;
ia;140429;0,322489883;
tidak;138623;0,318342472;
menjadi;132231;0,303663486;
juga;128457;0,294996638;
atau;127626;0,293088278;
merupakan;127371;0,29250268;
kabupaten;121622;0,279300319;
itu;121001;0,277874216;
satu;120114;0,275837255;
sebuah;114778;0,263583332;
kota;114391;0,262694602;
class;110979;0,254859073;
film;101371;0,232794664;
of;101124;0,232227438;
orang;99831;0,229258113;
mereka;99168;0,227735558;
luar;95353;0,218974555;
desa;92115;0,211538611;
memiliki;90658;0,208192665;
bahasa;89639;0,205852571;
ada;83631;0,192055426;
kecamatan;79841;0,183351834;
salah;79583;0,182759347;
dapat;79157;0,181781054;
karena;78564;0,180419252;
tersebut;77863;0,178809432;
pranala;75993;0,174515048;
akan;75513;0,173412746;
lebih;73477;0,168737149;
nama;69557;0,159735018;
setelah;69009;0,158476556;
telah;68545;0,157410998;
lain;67856;0,155828736;
bahwa;67062;0,154005345;
sekolah;66767;0,153327888;
seperti;66759;0,153309517;
seorang;65226;0,14978904;
pertama;64525;0,14817922;
provinsi;64024;0,147028693;
besar;63703;0,146291528;
saat;63672;0,146220338;
negeri;62810;0,144240788;
jawa;62243;0,142938694;
a;62123;0,142663118;
beberapa;61531;0,141303612;
negara;61291;0,140752462;
kemudian;60622;0,139216128;
referensi;59532;0,136712985;
secara;59073;0,135658908;
barat;58299;0,133881447;
timur;58160;0,133562239;
amerika;57987;0,133164951;
bagian;56339;0,129380381;
lagu;56196;0,129051987;
selatan;55068;0,126461578;
antara;54378;0,124877019;
dunia;54370;0,124858647;
s;53854;0,123673673;
tengah;52647;0,120901843;
utara;52017;0,119455072;
banyak;51756;0,118855695;
wilayah;51658;0,118630642;
album;50265;0,11543167;
namun;50147;0,115160687;
dia;49615;0,113938969;
atas;49378;0,113394708;
i;49338;0,113302849;
and;48660;0,111745848;
baru;48158;0,110593024;
para;47883;0,109961497;
dua;47295;0,108611177;
sampai;46896;0,107694889;
tanggal;46525;0,106842901;
sama;46250;0,106211374;
daerah;46097;0,105860016;
masa;45727;0,105010325;
anak;45640;0,104810532;
kepada;44836;0,102964177;
note;44589;0,102396951;
yaitu;44532;0,102266052;
de;43853;0,100706755;
daftar;42360;0,097278137;
serikat;42233;0,096986486;
waktu;41662;0,095675206;
mulai;40643;0,093335111;
hanya;40383;0,092738031;
tempat;39727;0,091231552;
hari;39498;0,090705662;
in;39339;0,090340524;
hingga;38959;0,089467869;
jepang;38647;0,088751373;
ketika;38359;0,088089992;
pemain;38025;0,087322973;
digunakan;37989;0,087240301;
inggris;37834;0,086884349;
kedua;36843;0,084608555;
terletak;36789;0,084484546;
bola;36743;0,084378909;
dasar;36364;0,08350855;
c;36033;0,082748421;
raja;35750;0,082098522;
kelas;35744;0,082084743;
pendidikan;35563;0,081669083;
air;35516;0,08156115;
pula;35281;0,081021481;
sd;34985;0,080341728;
menggunakan;34610;0,079480555;
anggota;34551;0,079345064;
sejak;34457;0,079129196;
musik;34370;0,078929404;
sangat;34157;0,078440258;
bersama;34144;0,078410404;
lainnya;34115;0,078343806;
berada;34070;0,078240465;
hal;33591;0,07714046;
serta;33550;0,077046305;
perancis;32820;0,075369888;
aceh;32779;0,075275733;
pulau;32754;0,075218321;
perang;32657;0,074995564;
utama;32591;0,074843998;
tim;32584;0,074827923;
kembali;32574;0,074804958;
tinggi;32331;0,074246918;
jakarta;32139;0,073805997;
disebut;32045;0,07359013;
udara;31888;0,073229585;
bisa;31632;0,072641691;
sejarah;31557;0,072469456;
selama;31504;0,072347744;
sepak;31061;0,071330411;
m;30800;0,070731034;
sistem;30636;0,070354414;
masih;30240;0,069445015;
suatu;30088;0,069095953;
